municipality,iata_code,coordinates
SÃ£o Paulo,CGH,"-46.65638732910156, -23.626110076904297"
Casiguran,CGG,"122.0651, 16.1941"
Cleveland,CGF,"-81.4863967896, 41.5651016235"
Cambridge,CGE,"-76.03040314, 38.53929901"
Changde,CGD,"111.63999939, 28.9188995361"
Cape Gloucester,CGC,"148.432417, -5.458965"
CuiabÃ¡,CGB,"-56.1166992188, -15.6528997421"
Craig,CGA,"-133.1479949951172, 55.47880172729492"
Coffeyville,CFV,"-95.5718994141, 37.09400177"
Kerkyra Island,CFU,"19.911699295043945, 39.601898193359375"
Clifton/Morenci,CFT,"-109.211397, 32.957039"
Coffs Harbour,CFS,"153.115997, -30.320601"
Caen/Carpiquet,CFR,"-0.44999998807907104, 49.173301696777344"
Creston,CFQ,"-116.49800109863, 49.03689956665"
Carpentaria Downs,CFP,"144.317001343, -18.7166996002"
Confresa,CFO,"-51.5635986328125, -10.634400367736816"
Donegal,CFN,"-8.340999603271484, 55.0442008972168"
Conklin,CFM,"-111.278999, 55.695301"
,CFK,"1.33176994324, 36.2126998901"
,CFI,"131.32699584960938, -17.021699905395508"
Clifton Hills,CFH,"138.891998291, -27.018299102800004"
Cienfuegos,CFG,"-80.41419982910156, 22.149999618530273"
Cafunfo,CFF,"17.989700317382812, -8.783610343933105"
Clermont-Ferrand/Auvergne,CFE,"3.1691699028, 45.7867012024"
Bryan,CFD,"-96.3313980103, 30.715700149499998"
CaÃ§ador,CFC,"-50.9398002625, -26.78840065"
Cabo Frio,CFB,"-42.074298858599995, -22.921699523900003"
Cortez,CEZ,"-108.627998352, 37.3030014038"
Murray,CEY,"-88.37280273, 36.66460037"
Chena Hot Springs,CEX,"-146.04699707, 65.0518035889"
Crestview,CEW,"-86.522102356, 30.778799057"
Connersville,CEV,"-85.129699707, 39.6985015869"
Clemson,CEU,"-82.8864975, 34.6719017"
Cholet/Le Pontreau,CET,"-0.8770639896392822, 47.08209991455078"
,CES,"151.341995, -32.787498"
Cherbourg/Maupertus,CER,"-1.4702800512313843, 49.65010070800781"
Cannes/Mandelieu,CEQ,"6.95348, 43.542"
ConcepciÃ³n,CEP,"-62.02859878540039, -16.1382999420166"
Waco Kungo,CEO,"15.101400375366211, -11.426400184631348"
Ciudad ObregÃ³n,CEN,"-109.83300018310547, 27.39259910583496"
Central,CEM,"-144.7830048, 65.57379913"
Cape Eleuthera,CEL,"-76.2962, 24.7861"
Chelyabinsk,CEK,"61.5033, 55.305801"
Chernigow,CEJ,"31.1583003998, 51.4021987915"
Chiang Rai,CEI,"99.88289642330001, 19.952299118"
,CEH,"33.799999237099996, -10.5500001907"
Hawarden,CEG,"-2.9777801036834717, 53.1781005859375"
Springfield/Chicopee,CEF,"-72.53479767, 42.19400024"
Cherepovets,CEE,"38.015800476100004, 59.273601532"
,CED,"133.7100067138672, -32.13059997558594"
Crescent City,CEC,"-124.2369995, 41.78020096"
Lapu-Lapu City,CEB,"123.97899627686, 10.307499885559"
Wichita,CEA,"-97.2506027222, 37.648601532"
Mapun,CDY,"118.49600219726562, 7.013999938964844"
Caldwell,CDW,"-74.2814025879, 40.875198364300005"
Cordova,CDV,"-145.4779968, 60.4917984"
,CDU,"150.68699645996094, -34.04029846191406"
CastellÃ³n de la Plana,CDT,"0.073333, 40.213889"
Childress,CDS,"-100.288002014, 34.4337997437"
Chadron,CDR,"-103.095001221, 42.837600708"
,CDQ,"142.25799560546875, -18.225000381469727"
Kadapa,CDP,"78.772778, 14.51"
Cradock,CDO,"25.6455993652, -32.1567001343"
Camden,CDN,"-80.56490325930001, 34.2835998535"
Candle,CDL,"-161.925994873, 65.907699585"
ConceiÃ§Ã£o do Araguaia,CDJ,"-49.301498, -8.34835"
Cachoeiro Do Itapemirim,CDI,"-41.1856002808, -20.834299087499996"
Camden,CDH,"-92.7633972168, 33.622798919699996"
Paris,CDG,"2.55, 49.012798"
Cortina D'Ampezzo,CDF,"12.118000030500001, 46.573001861600005"
Chengde,CDE,"118.073889, 41.1225"
Cauquira,CDD,"-83.591667, 15.316667"
Cedar City,CDC,"-113.0989990234375, 37.70100021362305"
Cold Bay,CDB,"-162.72500610351562, 55.20610046386719"
,CDA,"132.53199768066406, -12.903300285339355"
,CCZ,"-77.88089752197266, 25.41710090637207"
Charles City,CCY,"-92.6108016968, 43.0726013184"
CÃ¡ceres,CCX,"-57.62990188598633, -16.04360008239746"
,CCW,"136.89199829101562, -33.66669845581055"
Craig Cove,CCV,"167.923996, -16.264999"
Kolkata,CCU,"88.44670104980469, 22.654699325561523"
Colonia Catriel,CCT,"-67.8349990845, -37.9101982117"
Caracas,CCS,"-66.991222, 10.601194"
Concord,CCR,"-122.056999207, 37.9897003174"
Concepcion,CCP,"-73.063103, -36.772701"
Puerto LÃ³pez,CCO,"-71.3364, 4.56417"
Chakcharan,CCN,"65.27102, 34.526465"
CriciÃºma,CCM,"-49.4213905334, -28.7244434357"
,CCL,"150.61700439453125, -26.774999618530273"
Cocos (Keeling) Islands,CCK,"96.8339004517, -12.1883001328"
Calicut,CCJ,"75.95529937740001, 11.1367998123"
ConcÃ³rdia,CCI,"-52.05270004272461, -27.180599212646484"
Chile Chico,CCH,"-71.6874008178711, -46.58330154418945"
Crane,CCG,"-102.362998962, 31.415100097699998"
Carcassonne/Salvaza,CCF,"2.3063199520111084, 43.215999603271484"
,CCE,"31.837643, 30.064358"
Los Angeles,CCD,"-118.417999268, 34.060798645"
Cayo Coco,CCC,"-78.32839965820001, 22.461000442499998"
Upland,CCB,"-117.68800354, 34.1115989685"
Chimore,CCA,"-65.145568, -16.976834"
Canobie,CBY,"140.927001953, -19.479400634799998"
,CBX,"147.20899963378906, -33.06439971923828"
Campo MourÃ£o,CBW,"-52.3568000793, -24.009199142499998"
Coban,CBV,"-90.40670013427734, 15.468999862670898"
Cottbus,CBU,"14.531944, 51.889442"
Catumbela,CBT,"13.4869, -12.4792"
Cabimas,CBS,"-71.32250213623047, 10.330699920654297"
Canberra,CBR,"149.19500732421875, -35.30690002441406"
Calabar,CBQ,"8.347200393676758, 4.976019859313965"
Cotabato City,CBO,"124.20999908447266, 7.1652398109436035"
Cirebon-Java Island,CBN,"108.540000916, -6.756140232090001"
Columbus,CBM,"-88.44380187990001, 33.6437988281"
,CBL,"-63.5369567871, 8.12216091156"
Colby,CBK,"-101.0469971, 39.42750168"
Cabo Rojo,CBJ,"-71.6447982788086, 17.929000854492188"
,CBI,"148.01699829101562, -40.391700744628906"
BÃ©char,CBH,"-2.269860029220581, 31.645700454711914"
Cambridge,CBG,"0.175, 52.205002"
Council Bluffs,CBF,"-95.760597229, 41.2592010498"
Cumberland,CBE,"-78.7609024048, 39.615398407"
,CBD,"92.8196029663086, 9.152509689331055"
,CBC,"125.537777778, -18.917777777800005"
Cochabamba,CBB,"-66.1771011352539, -17.421100616455078"
,CAZ,"145.79400634765625, -31.538299560546875"
Cayenne / Rochambeau,CAY,"-52.360401153599994, 4.819809913639999"
Carlisle,CAX,"-2.8091700077056885, 54.9375"
Campos Dos Goytacazes,CAW,"-41.301700592, -21.698299408"
Cazombo,CAV,"22.916400909423828, -11.893099784851074"
Caruaru,CAU,"-36.01350021362305, -8.282389640808105"
Cascais,CAT,"-9.35523, 38.724998"
Casablanca,CAS,"-7.661389827730001, 33.5532989502"
Caribou,CAR,"-68.0178985596, 46.871498107899995"
Caucasia,CAQ,"-75.1985, 7.96847"
Cap Haitien,CAP,"-72.194702, 19.733"
Clayton,CAO,"-103.166999817, 36.4462013245"
Guangzhou,CAN,"113.29900360107422, 23.39240074157715"
Camiri,CAM,"-63.527801513671875, -20.006399154663086"
Campbeltown,CAL,"-5.686389923095703, 55.437198638916016"
Akron,CAK,"-81.44219970703125, 40.916099548339844"
Canaima,CAJ,"-62.85443115234375, 6.231988906860352"
Cairo,CAI,"31.40559959411621, 30.12190055847168"
Ca Mau City,CAH,"105.177778, 9.177667"
Cagliari,CAG,"9.05428, 39.251499"
Carauari,CAF,"-66.89749908447266, -4.871520042419434"
Columbia,CAE,"-81.11949920654297, 33.93880081176758"
Cadillac,CAD,"-85.4188995361, 44.2752990723"
Cascavel,CAC,"-53.500801086399996, -25.0002994537"
Cabinda,CAB,"12.188400268554688, -5.59699010848999"
Catacamas,CAA,"-85.9000015258789, 14.916999816894531"
Brize Norton,BZZ,"-1.58362, 51.75"
BÄlÈi,BZY,"27.777222, 47.843056"
Bazhong,BZX,"106.644872, 31.73842"
Brazzaville,BZV,"15.253000259399414, -4.251699924468994"
,BZU,"24.793699264526367, 2.818350076675415"
Brazoria,BZT,"-95.579696655273, 28.982200622559"
Washington,BZS,"-77.011, 38.863"
BÃ©ziers/Vias,BZR,"3.3538999557495117, 43.32350158691406"
Lakefield National Park,BZP,"144.119444444, -14.7402777778"
Bolzano,BZO,"11.3264, 46.460201"
Bozeman,BZN,"-111.1529999, 45.77750015"
Bemolanga,BZM,"45.0888333333, -17.6925"
Barisal,BZL,"90.30120086669922, 22.801000595092773"
Bryansk,BZK,"34.176399, 53.214199"
,BZI,"27.926000595092773, 39.619300842285156"
Bumi,BZH,"28.3500003815, -16.8169994354"
Bydgoszcz,BZG,"17.9776992798, 53.096801757799994"
Redding,BZF,"-122.407997131, 40.5749015808"
Belize City,BZE,"-88.30819702148438, 17.539100646972656"
,BZD,"143.5780029296875, -34.623600006103516"
Cabo Frio,BZC,"-41.96308, -22.770881"
Bazaruto Island,BZB,"35.4729, -21.5411"
Bonanza,BZA,"-84.624311, 14.031524"
Baniyala,BYX,"136.227005005, -13.19810009"
Blakely Island,BYW,"-122.825996399, 48.578998565700005"
Colombo,BYV,"79.85416666670001, 6.9294444444400005"
Bayreuth,BYU,"11.64, 49.985001"
Bantry,BYT,"-9.484169960021973, 51.66859817504883"
Fort Irwin/Barstow,BYS,"-116.629997253, 35.2804985046"
LÃ¦sÃ¸,BYR,"11.000100135803223, 57.277198791503906"
Bunju Island,BYQ,"117.866996765, 3.45571994781"
,BYP,"119.16600036621, -22.673900604248"
Bonito,BYO,"-56.4525, -21.2473"
Bayankhongor,BYN,"100.7040023803711, 46.163299560546875"
Bayamo,BYM,"-76.62139892578125, 20.396400451660156"
Beliyela,BYL,"-9.99372222222, 7.36916666667"
,BYK,"-5.073669910430908, 7.738800048828125"
Beja,BYJ,"-7.9324, 38.078899"
Burley,BYI,"-113.772003174, 42.542598724399994"
Blytheville,BYH,"-89.94400024410001, 35.9642982483"
Buffalo,BYG,"-106.722000122, 44.381099700899995"
Albert/Bray,BYF,"2.69765996933, 49.9715003967"
Al-Bayda,BYD,"45.441079, 14.105974"
YacuÃ­ba,BYC,"-63.65169906616211, -21.960899353027344"
Dibba Al-Baya,BYB,"56.2444000244, 25.6142292023"
Boundary,BYA,"-141.113006592, 64.0783004761"
Bunsil - Umboi Island,BXZ,"147.8667, -5.7243"
Baikonur,BXY,"63.210773, 45.621994"
Borama,BXX,"43.1495, 9.9463"
Bawean,BXW,"112.679592, -5.723676"
BreiÃ°dalsvÃ­k,BXV,"-14.02280044555664, 64.79000091552734"
Butuan City,BXU,"125.4788, 8.9515"
Bontang-Borneo Island,BXT,"117.474998, 0.119691"
Borrego Springs,BXS,"-116.320999146, 33.2589988708"
,BXR,"58.45000076293945, 29.084199905395508"
BiaÅa Podlaska,BXP,"23.1325278, 52.00078"
Buochs,BXO,"8.396944, 46.974444"
,BXN,"27.669700622558594, 37.140098571777344"
Batom-Papua Island,BXM,"140.850006104, -4.16666984558"
Nanuya Lailai Island,BXL,"177.368, -16.943"
Buckeye,BXK,"-112.686317, 33.422397"
Aima Ata,BXJ,"76.88369750976562, 43.35260009765625"
Boundiali,BXI,"-6.4670000076293945, 9.532999992370605"
Balkhash,BXH,"75.00499725341797, 46.8932991027832"
,BXG,"144.330001831, -36.7393989563"
Pumululu National Park,BXF,"128.305, -17.545"
Bakel,BXE,"-12.468299865722656, 14.847299575805664"
Bade,BXD,"139.58333, -7.175902"
Babo-Papua Island,BXB,"133.43899536132812, -2.5322399139404297"
Bogalusa,BXA,"-89.8649978638, 30.813699722299997"
Woodbridge,BWY,"1.43472003937, 52.1274986267"
Banyuwangi,BWX,"114.3401, -8.31015"
Cayo Santa Maria,BWW,"-79.1472015381, 22.621299743699996"
Sydney,BWU,"150.98800659179688, -33.924400329589844"
Burnie,BWT,"145.7310028076172, -40.9989013671875"
,BWQ,"146.81700134277344, -29.973899841308594"
Bewani,BWP,"141.165277778, -3.0216666666700003"
Balakovo,BWO,"47.7456016541, 51.8582992554"
Bandar Seri Begawan,BWN,"114.9280014038086, 4.944200038909912"
Bowman,BWM,"-103.30075, 46.1655193"
Blackwell,BWL,"-97.3170013428, 36.7958984375"
BraÄ Island,BWK,"16.67970085144043, 43.285701751708984"
,BWJ,"146.881666667, -6.396944444440001"
Baltimore,BWI,"-76.668297, 39.1754"
Butterworth,BWH,"100.39099884033203, 5.4659199714660645"
Bowling Green,BWG,"-86.41970062259999, 36.964500427199994"
Barrow-in-Furness,BWF,"-3.2675, 54.1286111"
Braunschweig,BWE,"10.5561, 52.319199"
Brownwood,BWD,"-98.9564971924, 31.793600082399998"
Brawley,BWC,"-115.5169983, 32.99290085"
,BWB,"115.40599822998047, -20.86440086364746"
Bhairawa,BWA,"83.416293, 27.505685"
,BVZ,"125.43299865722656, -16.733299255371094"
Beverly,BVY,"-70.91649627689999, 42.584201812699995"
Batesville,BVX,"-91.64730072, 35.7262001"
,BVW,"142.675003052, -12.6591997147"
Iturup Island,BVV,"147.621994, 44.919998"
Beluga,BVU,"-151.044006348, 61.1721992493"
Breves,BVS,"-50.443599700927734, -1.6365300416946411"
Brava Island,BVR,"-24.746, 14.864305555600001"
Bolovip,BVP,"141.655, -5.3633"
Bartlesville,BVO,"-96.01119995, 36.76250076"
Belmonte,BVM,"-38.87189865112305, -15.871700286865234"
Baures,BVL,"-63.5833320618, -13.583333015400001"
Itenes,BVK,"-63.747898101800004, -13.5500001907"
,BVI,"139.34800720214844, -25.897499084472656"
Vilhena,BVH,"-60.098300933838, -12.694399833679"
BerlevÃ¥g,BVG,"29.034201, 70.871399"
Bua,BVF,"178.6232, -16.8598"
Brive la Gaillarde,BVE,"1.485556, 45.039722"
Rabil,BVC,"-22.888900756835938, 16.136499404907227"
Boa Vista,BVB,"-60.6922225952, 2.84138894081"
Beauvais/TillÃ©,BVA,"2.1127800941467285, 49.45439910888672"
Bushehr,BUZ,"50.8345985413, 28.9447994232"
,BUY,"115.677001953125, -33.378299713134766"
,BUX,"30.220800399780273, 1.5657199621200562"
Bau Bau-Butung Island,BUW,"122.56900024414062, -5.486879825592041"
Bella Union,BUV,"-57.0833320618, -30.3333339691"
Muara Bungo,BUU,"102.135, -1.1278"
Jakar,BUT,"90.7471, 27.5622"
Batumi,BUS,"41.5997009277, 41.6102981567"
Burbank,BUR,"-118.35900115966797, 34.20069885253906"
Bulawayo,BUQ,"28.617901, -20.017401"
,BUP,"74.75579833984375, 30.270099639892578"
Burao,BUO,"45.5549, 9.5275"
Buenaventura,BUN,"-76.9898, 3.81963"
Butler,BUM,"-94.3401031494, 38.2897987366"
Bulolo,BUL,"146.649541855, -7.216286671410001"
Al-Bough,BUK,"44.621700286899994, 17.3467006683"
,BUJ,"4.206389904022217, 35.33250045776367"
Bokondini,BUI,"138.6755, -3.6822"
Benguela,BUG,"13.4036998749, -12.609000206"
Buffalo,BUF,"-78.73220062, 42.94049835"
Budapest,BUD,"19.261093, 47.42976"
,BUC,"139.53399658203125, -17.748600006103516"
Burwell,BUB,"-99.14969635010002, 41.776699066199996"
Buka Island,BUA,"154.67300415039062, -5.4223198890686035"
Bursa,BTZ,"29.009199142456055, 40.233299255371094"
Beatty,BTY,"-116.787002563, 36.8610992432"
,BTX,"140.7830047607422, -25.641700744628906"
Batu Licin-Borneo Island,BTW,"115.995002747, -3.4124100208300003"
Burlington,BTV,"-73.15329742429999, 44.471900939899996"
Bintulu,BTU,"113.019996643, 3.12385010719"
Bettles,BTT,"-151.529007, 66.91390228"
Bratislava,BTS,"17.21269989013672, 48.17020034790039"
Baton Rouge,BTR,"-91.149597, 30.533199"
Butare,BTQ,"29.7367000579834, -2.595829963684082"
Butler,BTP,"-79.949699, 40.776901"
Botopasi,BTO,"-55.4470539093, 4.21751109352"
Bennettsville,BTN,"-79.73439789, 34.62170029"
Butte,BTM,"-112.49700164794922, 45.95479965209961"
Battle Creek,BTL,"-85.2515029907, 42.307300567599995"
Bratsk,BTK,"101.697998046875, 56.370601654052734"
Banda Aceh,BTJ,"95.42063713070002, 5.522872024010001"
Barter Island Lrrs,BTI,"-143.582000732, 70.1340026855"
Batam Island,BTH,"104.119003296, 1.12102997303"
Batangafo,BTG,"18.308799743652344, 7.314109802246094"
Bountiful,BTF,"-111.927001953, 40.8694000244"
Bonthe,BTE,"-12.518899917602539, 7.5324201583862305"
,BTD,"135.93800354, -18.639999389599996"
Batticaloa,BTC,"81.678802, 7.70576"
Betou,BTB,"18.5, 3.049999952316284"
Bertoua,BTA,"13.726099967956543, 4.548610210418701"
Egegik,BSZ,"-157.352005005, 58.2162017822"
,BSY,"42.307778, 2.336111"
Pathein,BSX,"94.7799, 16.815201"
Boswell Bay,BSW,"-146.145996094, 60.4230995178"
Besakoa,BSV,"47.0616666667, -15.6725"
Basankusu,BSU,"19.7889, 1.22472"
Bost,BST,"64.36499786376953, 31.55970001220703"
Balsas,BSS,"-46.05329895019531, -7.52603006362915"
Basrah,BSR,"47.66210174560547, 30.549100875854492"
Bisbee,BSQ,"-109.883003235, 31.3640003204"
Bensbach,BSP,"141.259444444, -8.85805555556"
Basco,BSO,"121.980003, 20.4513"
Bossangoa,BSN,"17.429000854492188, 6.492000102996826"
Amol,BSM,"52.34960174560547, 36.65510177612305"
BÃ¢le/Mulhouse,BSL,"7.529167, 47.59"
Biskra,BSK,"5.73823022842, 34.793300628699996"
,BSJ,"147.5679931640625, -37.88750076293945"
Balesin,BSI,"122.039402, 14.419365"
,BSG,"9.805680274963379, 1.9054700136184692"
Camp Pohakuloa,BSF,"-155.554000854, 19.760099411"
Sematan,BSE,"109.76300048828125, 1.8136099576950073"
,BSD,"99.168297, 25.053301"
BahÃ­a Solano,BSC,"-77.3947, 6.20292"
BrasÃ­lia,BSB,"-47.920834, -15.869167"
Bosaso,BSA,"49.14939880371094, 11.275300025939941"
Bardstown,BRY,"-85.4996032715, 37.8143005371"
Barahona,BRX,"-71.12039947509766, 18.25149917602539"
UtqiaÄ¡vik,BRW,"-156.766008, 71.285402"
Bremerhaven,BRV,"8.572778, 53.506943"
Brussels,BRU,"4.48443984985, 50.901401519800004"
,BRT,"130.6199951171875, -11.769200325012207"
Bristol,BRS,"-2.71909, 51.382702"
Eoligarry,BRR,"-7.44306, 57.0228"
Brno,BRQ,"16.694400787353516, 49.15129852294922"
Biaru,BRP,"146.7594, -7.6693"
Brownsville,BRO,"-97.4259033203125, 25.90679931640625"
Bern,BRN,"7.497149944309999, 46.914100647"
Barquisimeto,BRM,"-69.3586196899414, 10.042746543884277"
Burlington,BRL,"-91.12550354003906, 40.783199310302734"
,BRK,"145.95199584960938, -30.039199829101562"
Bari,BRI,"16.760599, 41.138901"
Whitesburg,BRG,"-82.8742, 37.2219"
Bremen,BRE,"8.78666973114, 53.0475006104"
Brainerd,BRD,"-94.13809967, 46.39830017"
San Carlos de Bariloche,BRC,"-71.157501, -41.151199"
,BRB,"-42.805666, -2.756628"
Barreiras,BRA,"-45.00899887084961, -12.078900337219238"
Tucuma,BR-,"-66.43299865722656, -3.9670000076293945"
Balgo,BQW,"127.973, -20.1483"
Gustavus,BQV,"-135.884994507, 58.4552001953"
Bequia,BQU,"-61.2620010376, 12.9884004593"
Brest,BQT,"23.8981, 52.108299"
Blagoveschensk,BQS,"127.41200256347656, 50.42539978027344"
Barra,BQQ,"-43.147499084472656, -11.08080005645752"
Bouna,BQO,"-3.025279998779297, 9.27750015258789"
Aguadilla,BQN,"-67.12940216064453, 18.49489974975586"
,BQL,"139.89999389648438, -22.913299560546875"
Brunswick,BQK,"-81.46649932861328, 31.258800506591797"
Batagay,BQJ,"134.69500732422, 67.648002624512"
Bagani,BQI,"21.6243991852, -18.1180992126"
London,BQH,"0.0324999988079, 51.33079910279999"
Bogorodskoye,BQG,"140.448, 52.38"
Bubaque,BQE,"-15.838079452514648, 11.297355651855469"
BÃºÃ°ardalur,BQD,"-21.80030059814453, 65.07530212402344"
,BQB,"115.401596069, -33.6884231567"
Baler,BQA,"121.500034, 15.729309"
,BPY,"44.4824838638, -16.744530296500002"
Bangda,BPX,"97.1082992553711, 30.553600311279297"
Beaumont/Port Arthur,BPT,"-94.02069854736328, 29.9507999420166"
Porto Seguro,BPS,"-39.080898, -16.438601"
Kotamadya Balikpapan,BPN,"116.893997192, -1.26827001572"
Hyderabad,BPM,"78.4675979614, 17.4531002045"
Bole,BPL,"82.3, 44.895"
Biangabip,BPK,"141.744583333, -5.526388888890001"
Big Piney,BPI,"-110.1110001, 42.58509827"
,BPH,"126.3219985961914, 8.19594955444336"
Barra Do GarÃ§as,BPG,"-52.3889007568, -15.861300468400001"
Batuna Mission Station,BPF,"158.119305556, -8.56202777778"
Qinhuangdao,BPE,"119.058889, 39.666389"
Bapi,BPD,"147.020555556, -7.743611111110001"
Bamenda,BPC,"10.122599601745605, 6.039239883422852"
Bethpage,BPA,"-73.4960021973, 40.749401092499994"
Bozoum,BOZ,"16.3218994140625, 6.344170093536377"
Bobo Dioulasso,BOY,"-4.33096981048584, 11.160099983215332"
,BOX,"136.302001953125, -16.075300216674805"
Bartow,BOW,"-81.783401, 27.943399"
Boang Island,BOV,"153.2812, -3.3834"
Bourges,BOU,"2.3702800273895264, 47.058101654052734"
Bosset,BOT,"141.1063222, -7.237257"
Boston,BOS,"-71.00520325, 42.36429977"
Belfort,BOR,"7.0108299255371, 47.655601501465"
Boku,BOQ,"155.3419, -6.5427"
Bouar,BOP,"15.63700008392334, 5.958000183105469"
BodÃ¸,BOO,"14.365300178527832, 67.26920318603516"
Kralendijk,BON,"-68.26850128173828, 12.130999565124512"
Mumbai,BOM,"72.8678970337, 19.0886993408"
Brookings,BOK,"-124.290001, 42.0746"
Burgas,BOJ,"27.515199661254883, 42.56959915161133"
Boise,BOI,"-116.223, 43.5644"
Bournemouth,BOH,"-1.8424999713897705, 50.779998779296875"
Bogota,BOG,"-74.1469, 4.70159"
Washington,BOF,"-77.0160980225, 38.842899322499996"
Boundji,BOE,"15.383000373840332, -1.0329999923706055"
Bordeaux/MÃ©rignac,BOD,"-0.715556025505, 44.828300476100004"
Isla ColÃ³n,BOC,"-82.25080108642578, 9.340849876403809"
Motu Mute,BOB,"-151.75100708007812, -16.444400787353516"
Boma,BOA,"13.064000129699707, -5.854000091552734"
Banz,BNZ,"144.623, -5.807"
Anua,BNY,"159.798333333, -11.302222222200001"
Banja Luka,BNX,"17.297500610351562, 44.94139862060547"
Boone,BNW,"-93.8476028442, 42.0495986938"
Boana,BNV,"146.825, -6.433"
Blumenau,BNU,"-49.090301513671875, -26.83060073852539"
Bundi,BNT,"145.2275, -5.742222222220001"
Barinas,BNS,"-70.21416667, 8.615"
Banfora,BNR,"-4.7170000076293945, 10.682999610900879"
Baganga,BNQ,"126.568888889, 7.611944444440001"
Bannu,BNP,"70.527901, 32.9729"
Burns,BNO,"-118.955001831, 43.5918998718"
BrÃ¸nnÃ¸y,BNN,"12.217499732971, 65.461097717285"
Bodinumu,BNM,"147.666722222, -9.107777777779999"
Barnwell,BNL,"-81.38829803, 33.25780106"
Ballina,BNK,"153.56199646, -28.8339004517"
Bonn,BNJ,"7.16333293915, 50.7688903809"
Benin,BNI,"5.5995001792907715, 6.316979885101318"
Boston,BNH,"-71.025832, 42.352502"
Banning,BNG,"-116.850672, 33.922548"
Baranof,BNF,"-134.833146, 57.088799"
Brisbane,BNE,"153.11700439453125, -27.384199142456055"
Bandar Abbas,BND,"56.37779998779297, 27.218299865722656"
Beni,BNC,"29.4739, 0.575"
Boende,BNB,"20.850000381469727, -0.21699999272823334"
Nashville,BNA,"-86.6781997680664, 36.1245002746582"
Bamu,BMZ,"143.2433, -7.8485"
Waala,BMY,"163.66099548339844, -19.720600128173828"
Big Mountain,BMX,"-155.259002686, 59.3611984253"
Bordj Badji Mokhtar,BMW,"0.923888981342, 21.375"
Buon Ma Thuot,BMV,"108.120002747, 12.668299675"
Bima-Sumbawa Island,BMU,"118.68699645996, -8.5396499633789"
Beaumont,BMT,"-94.215746, 30.070635"
Brumado,BMS,"-41.817501, -14.2554"
Baltrum,BMR,"7.373332977294922, 53.72472381591797"
,BMQ,"39.730768, -3.98191"
,BMP,"149.27000427246094, -20.803300857543945"
Banmaw,BMO,"97.24620056152344, 24.268999099731445"
Bamarni,BMN,"43.2666015625, 37.09880065917969"
Bitam,BMM,"11.493200302124023, 2.0756399631500244"
Berlin,BML,"-71.17590332, 44.57540131"
Borkum,BMK,"6.709167, 53.59639"
Baramita,BMJ,"-60.487998962402344, 7.370120048522949"
Bloomington/Normal,BMI,"-88.91590118, 40.47710037"
Bomai,BMH,"144.637, -6.37316666667"
Bloomington,BMG,"-86.61669921875, 39.145999908447266"
Bakouma,BMF,"22.801000595092773, 5.693999767303467"
Broome,BME,"122.23200225830078, -17.944700241088867"
Belo sur Tsiribihina,BMD,"44.541900634799994, -19.6867008209"
Brigham City,BMC,"-112.061996, 41.552399"
Bumbar,BMB,"22.481701, 2.18278"
Stockholm,BMA,"17.941699981689453, 59.354400634765625"
Blantyre,BLZ,"34.9739990234375, -15.679100036621094"
Belmullet,BLY,"-10.0307998657, 54.2228012085"
Belluno (BL),BLX,"12.250389, 46.166549"
Beledweyne,BLW,"45.2388, 4.766976"
Belleville,BLV,"-89.835197, 38.5452"
Emigrant Gap,BLU,"-120.709999084, 39.2750015259"
,BLT,"148.8070068359375, -23.603099822998047"
,BLS,"147.48300170898438, -28.058300018310547"
Bangalore,BLR,"77.706299, 13.1979"
Bologna,BLQ,"11.2887, 44.5354"
Bellavista,BLP,"-76.58219909667969, -7.06056022644043"
BlÃ¶nduÃ³s,BLO,"-20.287500381469727, 65.6449966430664"
,BLN,"146.0070037841797, -36.55189895629883"
Belmar/Farmingdale,BLM,"-74.12490082, 40.18690109"
Billund,BLL,"9.15178012848, 55.7402992249"
Blackpool,BLK,"-3.0286099910736084, 53.77170181274414"
Batna,BLJ,"6.308589935300001, 35.752101898199996"
Bellingham,BLI,"-122.53800201416016, 48.79280090332031"
Blythe,BLH,"-114.717002869, 33.6192016602"
Belaga,BLG,"113.766998291, 2.65000009537"
Bluefield,BLF,"-81.20770263671875, 37.295799255371094"
,BLE,"15.515199661254883, 60.422000885009766"
Boulder City,BLD,"-114.861, 35.947498"
Bali,BLC,"10.0338888889, 5.89527777778"
PanamÃ¡ City,BLB,"-79.599602, 8.91479"
Barcelona,BLA,"-64.692222, 10.111111"
Bukoba,BKZ,"31.8212, -1.332"
,BKY,"28.808799743652344, -2.3089799880981445"
Brookings,BKX,"-96.816902, 44.304798"
Beckley,BKW,"-81.1241989136, 37.787300109899995"
Betioky,BKU,"44.388999938964844, -23.732999801635742"
Blackstone,BKT,"-77.9574966431, 37.0741996765"
Bengkulu-Sumatra Island,BKS,"102.338997, -3.8637"
Bokoro,BKR,"17.066999435424805, 12.383000373840332"
Blackall,BKQ,"145.429000854, -24.427799224900003"
,BKP,"138.474722222, -20.4958333333"
Bamako,BKO,"-7.94994, 12.5335"
Balkanabat,BKN,"54.366001, 39.480598"
Bakalalan,BKM,"115.61799621582031, 3.9739999771118164"
Cleveland,BKL,"-81.68329620361328, 41.51750183105469"
Bangkok,BKK,"100.74700164794922, 13.681099891662598"
BokÃ©,BKJ,"-14.2811, 10.9658"
